date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2019 Mar 18",2458560.8887,"r", -18.68, 17.20,0.05, 19.81,"P48+ZTF","1","None","None",True
"2019 Mar 18",2458560.9034,"r", -18.71, 17.17,0.05, 20.05,"P48+ZTF","2","None","None",True
"2019 Mar 18",2458560.9252,"r", -18.69, 17.19,0.06, 20.04,"P48+ZTF","2","None","None",True
"2019 Mar 18",2458560.9992,"g", -18.28, 17.60,0.06, 20.13,"P48+ZTF","2","None","None",True
"2019 Mar 19",2458561.8742,"r", -18.65, 17.23,0.05, 19.36,"P48+ZTF","2","None","None",True
"2019 Mar 19",2458561.9037,"r", -18.65, 17.23,0.04, 19.50,"P48+ZTF","2","None","None",True
"2019 Mar 19",2458562.0208,"g", -18.26, 17.62,0.08, 19.39,"P48+ZTF","2","None","None",True
"2019 Mar 20",2458562.8328,"g", -18.23, 17.65,0.12, 18.38,"P48+ZTF","2","None","None",True
"2019 Mar 20",2458562.8940,"r", -18.65, 17.23,0.20, 17.20,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458567.8831,"r", -18.54, 17.34,0.06, 20.03,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458567.8840,"r", -18.49, 17.39,0.06, 19.89,"P48+ZTF","1","None","None",True
"2019 Mar 25",2458567.9399,"g", -18.08, 17.80,0.10, 19.73,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458567.9408,"g", -18.08, 17.80,0.07, 19.76,"P48+ZTF","1","None","None",True
"2019 Mar 25",2458567.9605,"g", -18.04, 17.84,0.10, 19.77,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458567.9831,"g", -18.06, 17.82,0.11, 19.62,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458568.0267,"r", -18.52, 17.36,0.05, 19.84,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.7393,"g", -18.02, 17.86,0.07, 20.29,"P48+ZTF","2","None","None",True
